Id,LotArea,Utilities,LotConfig,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Foundation,BsmtExposure,TotalBsmtSF,Heating,CentralAir,LowQualFinSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageCars,PavedDrive,PoolArea,Fence,YrSold,SalePrice
1,8450,AllPub,Inside,1Fam,2Story,7,2003,2003,PConc,No,856,GasA,Y,0,2,1,3,1,8,0,Attchd,2,Y,0,NA,2008,208500
2,9600,AllPub,FR2,1Fam,1Story,6,1976,1976,CBlock,Gd,1262,GasA,Y,0,2,0,3,1,6,1,Attchd,2,Y,0,NA,2007,181500
3,11250,AllPub,Inside,1Fam,2Story,7,2001,2002,PConc,Mn,920,GasA,Y,0,2,1,3,1,6,1,Attchd,2,Y,0,NA,2008,223500
4,9550,AllPub,Corner,1Fam,2Story,7,1915,1970,BrkTil,No,756,GasA,Y,0,1,0,3,1,7,1,Detchd,3,Y,0,NA,2006,140000
5,14260,AllPub,FR2,1Fam,2Story,8,2000,2000,PConc,Av,1145,GasA,Y,0,2,1,4,1,9,1,Attchd,3,Y,0,NA,2008,250000
6,14115,AllPub,Inside,1Fam,1.5Fin,5,1993,1995,Wood,No,796,GasA,Y,0,1,1,1,1,5,0,Attchd,2,Y,0,MnPrv,2009,143000
7,10084,AllPub,Inside,1Fam,1Story,8,2004,2005,PConc,Av,1686,GasA,Y,0,2,0,3,1,7,1,Attchd,2,Y,0,NA,2007,307000
8,10382,AllPub,Corner,1Fam,2Story,7,1973,1973,CBlock,Mn,1107,GasA,Y,0,2,1,3,1,7,2,Attchd,2,Y,0,NA,2009,200000
9,6120,AllPub,Inside,1Fam,1.5Fin,7,1931,1950,BrkTil,No,952,GasA,Y,0,2,0,2,2,8,2,Detchd,2,Y,0,NA,2008,129900
10,7420,AllPub,Corner,2fmCon,1.5Unf,5,1939,1950,BrkTil,No,991,GasA,Y,0,1,0,2,2,5,2,Attchd,1,Y,0,NA,2008,118000
11,11200,AllPub,Inside,1Fam,1Story,5,1965,1965,CBlock,No,1040,GasA,Y,0,1,0,3,1,5,0,Detchd,1,Y,0,NA,2008,129500
